StudyInstanceUID,ImageUID
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001403
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001433
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001563
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001604
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001422
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001516
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001587
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001411
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001286
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001603
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001376
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001353
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001298
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001490
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001607
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001647
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001410
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001616
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001453
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001584
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001409
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001581
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001497
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001469
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001663
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001530
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001437
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001573
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001344
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001509
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001623
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001295
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001564
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001520
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001547
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001366
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001407
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001635
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001428
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001671
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001396
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001381
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001506
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001651
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001362
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001641
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001536
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001288
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001458
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001385
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001466
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001495
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001335
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001503
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001343
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001468
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001499
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001389
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001463
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001593
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001404
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001667
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001302
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001429
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001361
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001657
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001597
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001373
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001480
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001272
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001341
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001602
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001546
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001661
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001668
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001280
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001324
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001608
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001538
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001320
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001568
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001511
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001656
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001467
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001440
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001600
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001401
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001628
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001517
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001522
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001544
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001534
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001423
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001414
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001592
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001613
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001502
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001304
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001622
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001450
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001555
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001314
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001308
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001477
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001325
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001643
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001599
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001595
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001355
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001371
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001360
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001412
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001494
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001567
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001586
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001527
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001662
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001523
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001639
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001333
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001562
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001560
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001283
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001345
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001640
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001489
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001358
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001624
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001514
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001444
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001638
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001666
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001475
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001634
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001395
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001460
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001618
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001405
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001293
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001413
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001447
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001478
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001309
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001311
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001383
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001382
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001665
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001585
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001532
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001454
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001384
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001575
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001391
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001578
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001284
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001476
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001456
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001543
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001424
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001557
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001565
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001388
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001501
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001443
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001528
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001636
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001655
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001551
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001349
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001402
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001449
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001351
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001406
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001291
