StudyInstanceUID,ImageUID
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.155
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.176
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.145
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.144
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.5
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.174
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.152
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.27
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.38
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.276
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.215
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.65
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.165
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.76
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.122
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.24
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.273
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.137
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.40
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.13
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.309
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.248
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.198
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.308
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.306
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.219
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.2
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.262
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.92
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.213
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.160
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.69
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.314
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.131
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.244
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.226
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.150
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.252
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.167
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.282
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.203
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.66
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.291
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.32
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.222
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.77
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.37
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.7
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.63
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.200
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.310
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.178
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.206
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.230
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.100
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.114
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.182
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.266
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.115
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.111
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.162
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.110
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.288
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.186
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.229
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.202
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.28
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.235
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.185
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.90
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.67
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.50
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.261
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.157
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.316
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.207
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.231
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.46
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.246
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.93
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.52
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.294
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.275
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.124
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.19
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.83
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.197
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.41
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.210
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.180
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.72
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.299
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.270
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.141
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.247
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.224
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.259
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.199
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.315
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.134
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.148
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.15
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.139
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.251
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.168
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.220
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.221
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.301
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.179
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.258
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.9
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.106
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.274
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.74
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.166
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.44
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.87
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.73
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.58
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.171
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.113
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.267
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.126
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.85
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.243
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.116
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.293
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.238
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.79
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.277
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.236
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.257
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.211
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.23
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.320
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.225
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.53
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.234
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.290
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.170
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.269
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.193
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.283
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.201
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.108
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.285
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.75
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.129
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.22
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.14
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.295
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.45
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.121
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.1
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.272
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.117
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.232
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.245
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.194
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.195
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.118
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.280
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.239
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.103
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.35
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.33
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.36
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.20
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.184
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.172
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.127
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.250
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.71
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.132
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.268
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.6
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.298
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.11
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.81
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.159
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.88
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.319
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.181
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.123
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.70
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.297
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.136
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.51
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.196
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.208
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.49
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.17
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.318
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.289
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.233
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.279
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.223
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.307
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.99
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.286
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.265
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.147
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.84
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.216
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.263
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.254
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.192
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.39
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.313
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.96
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.241
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.42
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.303
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.296
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.68
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.109
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.163
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.60
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.187
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.135
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.10
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.212
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.143
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.217
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.154
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.25
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.61
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.302
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.128
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.218
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.130
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.151
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.227
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.249
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.31
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.57
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.156
1.2.840.113619.2.332.3.669520.387.1590710343.276,1.2.840.113619.2.332.3.669520.387.1590710343.492.82
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.181
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.180
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.223
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.79
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.291
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.49
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.71
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.169
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.84
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.252
1.2.840.113619.2.332.3.669520.387.1590710312.704,1.2.840.113619.2.332.3.669520.387.1590710313.118.64
